SalesID,InventoryID,CustID,EmployeeID,Price,Unit_Price,Sale_Date,quantity
1,17,75,1,23.0,5.75,2024-10-01 01:25:29,4
1,15,75,1,14.25,4.75,2024-10-01 14:39:07,3
2,37,56,5,13.8,6.9,2024-10-01 12:33:25,2
2,12,56,5,14.85,4.95,2024-10-01 19:15:23,3
2,15,56,5,19.0,4.75,2024-10-01 15:33:41,4
2,34,56,5,16.05,5.35,2024-10-01 10:32:39,3
3,23,10,3,10.7,5.35,2024-10-01 12:37:17,2
3,16,10,3,23.0,5.75,2024-10-01 16:24:03,4
3,29,10,3,11.1,5.55,2024-10-01 22:20:40,2
3,1,10,3,19.5,6.5,2024-10-01 03:32:59,3
3,29,10,3,11.1,5.55,2024-10-01 04:04:01,2
4,4,58,6,9.5,4.75,2024-10-01 09:51:58,2
4,30,58,6,22.2,5.55,2024-10-01 07:27:04,4
4,17,58,6,5.75,5.75,2024-10-01 13:49:49,1
4,1,58,6,19.5,6.5,2024-10-01 08:09:49,3
5,32,44,4,10.7,5.35,2024-10-01 06:51:03,2
5,11,44,4,4.95,4.95,2024-10-01 00:33:21,1
5,35,44,4,19.05,6.35,2024-10-01 17:20:36,3
6,36,36,7,6.35,6.35,2024-10-01 13:47:47,1
6,17,36,7,11.5,5.75,2024-10-01 22:24:50,2
6,2,36,7,4.35,4.35,2024-10-01 03:49:47,1
7,28,10,1,22.2,5.55,2024-10-01 10:45:27,4
7,14,10,1,9.5,4.75,2024-10-01 08:37:24,2
7,38,10,1,6.65,6.65,2024-10-01 09:11:34,1
7,14,10,1,4.75,4.75,2024-10-01 18:05:58,1
7,5,10,1,4.95,4.95,2024-10-01 15:00:35,1
8,24,21,4,22.2,5.55,2024-10-01 00:59:18,4
8,3,21,4,19.05,6.35,2024-10-01 01:28:05,3
8,25,21,4,5.35,5.35,2024-10-01 00:18:51,1
8,23,21,4,21.4,5.35,2024-10-01 18:17:35,4
8,23,21,4,16.05,5.35,2024-10-01 18:00:59,3
9,12,67,2,4.95,4.95,2024-10-01 13:51:41,1
9,22,67,2,6.95,6.95,2024-10-01 01:22:28,1
10,21,61,4,9.9,4.95,2024-10-01 07:24:57,2
10,3,61,4,6.35,6.35,2024-10-01 03:12:51,1
11,19,47,4,24.2,6.05,2024-10-01 10:58:23,4
11,35,47,4,19.05,6.35,2024-10-01 20:58:46,3
11,14,47,4,19.0,4.75,2024-10-01 14:53:25,4
11,9,47,4,9.9,4.95,2024-10-01 23:15:27,2
11,16,47,4,23.0,5.75,2024-10-01 05:40:03,4
12,8,71,1,19.8,4.95,2024-10-01 05:14:02,4
13,27,17,2,5.55,5.55,2024-10-01 16:15:09,1
13,9,17,2,4.95,4.95,2024-10-01 11:48:07,1
13,15,17,2,4.75,4.75,2024-10-01 04:38:22,1
13,27,17,2,11.1,5.55,2024-10-01 02:32:07,2
14,37,46,5,20.7,6.9,2024-10-01 08:51:06,3
15,23,29,4,21.4,5.35,2024-10-01 13:05:37,4
15,17,29,4,23.0,5.75,2024-10-01 13:30:35,4
15,6,29,4,9.5,4.75,2024-10-01 07:13:13,2
16,22,71,4,20.85,6.95,2024-10-01 16:01:58,3
16,21,71,4,19.8,4.95,2024-10-01 15:33:31,4
